Day,Unit#1,Unit#2,Unit#3,Unit#4,Unit#5
1,-0.1940,-0.2758,-0.2949,-0.1868,-0.1539
2,-0.1773,-0.2787,-0.2951,-0.1901,-0.1550
3,-0.1840,-0.2741,-0.2948,-0.1908,-0.1540
4,-0.1990,-0.2777,-0.2966,-0.1918,-0.1527
5,-0.1873,-0.2751,-0.2982,-0.1933,-0.1599
6,-0.2120,-0.2877,-0.3010,-0.1950,-0.1621
7,-0.2163,-0.2844,-0.3025,-0.1959,-0.1644
8,-0.2103,-0.2854,-0.3031,-0.1993,-0.1597
9,-0.2053,-0.2776,-0.3030,-0.2013,-0.1553
10,-0.2033,-0.2793,-0.3046,-0.2024,-0.1611
11,-0.2157,-0.2894,-0.3050,-0.2023,-0.1606
12,-0.2050,-0.2604,-0.3043,-0.2047,-0.1567
13,-0.2217,-0.2859,-0.3074,-0.2053,-0.1610
14,-0.2160,-0.2891,-0.3111,-0.2087,-0.1631
15,-0.2230,-0.2806,-0.3136,-0.2084,-0.1664
16,-0.1957,-0.2883,-0.3150,-0.2111,-0.1713
17,-0.2073,-0.2729,-0.3157,-0.2131,-0.1685
18,-0.2253,-0.2919,-0.3165,-0.2129,-0.1723
19,-0.2423,-0.2738,-0.3163,-0.2137,-0.1705
20,-0.2313,-0.3003,-0.3159,-0.2130,-0.1709
21,-0.2297,-0.3069,-0.3183,-0.2167,-0.1700
22,-0.2313,-0.3000,-0.3228,-0.2154,-0.1759
23,-0.2293,-0.3164,-0.3241,-0.2169,-0.1786
24,-0.2490,-0.3085,-0.3249,-0.2172,-0.1789
25,-0.2373,-0.2680,-0.3282,-0.2184,-0.1800
26,-0.2403,-0.2944,-0.3277,-0.2188,-0.1794
27,-0.2483,-0.3040,-0.3296,-0.2192,-0.1871
28,-0.2130,-0.2906,-0.3289,-0.2210,-0.1863
29,-0.2310,-0.2910,-0.3319,-0.2198,-0.1878
30,-0.2290,-0.2589,-0.3303,-0.2222,-0.1883
31,-0.2500,-0.2934,-0.3337,-0.2231,-0.1907
32,-0.2213,-0.3174,-0.3353,-0.2241,-0.1898
33,-0.2687,-0.3141,-0.3347,-0.2245,-0.1925
34,-0.2200,-0.3166,-0.3368,-0.2259,-0.1916
35,-0.2113,-0.3100,-0.3362,-0.2259,-0.1927
36,-0.2433,-0.3241,-0.3392,-0.2307,-0.1941
37,-0.2273,-0.3106,-0.3408,-0.2287,-0.1955
38,-0.2693,-0.2785,-0.3404,-0.2290,-0.1958
39,-0.2487,-0.3081,-0.3408,-0.2286,-0.1973
40,-0.2490,-0.3152,-0.3437,-0.2295,-0.1982
41,-0.2757,-0.2899,-0.3426,-0.2295,-0.1972
42,-0.2600,-0.3184,-0.3432,-0.2282,-0.1970
43,-0.2660,-0.3145,-0.3421,-0.2271,-0.1966
44,-0.2650,-0.3193,-0.3440,-0.2282,-0.1985
45,-0.2477,-0.3082,-0.3443,-0.2264,-0.1961
46,-0.2493,-0.3164,-0.3446,-0.2244,-0.1966
